1.0	.*([無な][ー〜]*い|(く|て|では|じゃ)ね(え|ぇ|[ー〜]+))((よ?(なあ?|ね(え|ぇ|ー*))?)|(の?(かも(しれ(ない|ね(え|ぇ|ー+)|ん))?)?)(よ|わ|ね|ぞ|もん|ってば?)?|[なわ][あぁ]?)?[ー〜]*
1.0	.*([無な][ー〜]*い|(く|て|では|じゃ)ね(え|ぇ|[ー〜]+))((かも(しれ(ない|ね(え|ぇ|ー+)|ん))?)(よ|わ|ね|ぞ|もん|ってば?)?|[なわ][あぁ]?)?[ー〜]*
1.0	.*([無な][ー〜]*(い|(く|て|では|じゃ)(え|ぇ|[ー〜]+))んだ)(((よ[なね]?|ね|わ|けど(さ(あ|ー+)?)?)(ね(え|ぇー*)?))|([なわ][あぁ]?))?[ー〜]*
1.0	.*([無な]かった)(か?なあ?|よ|わ|ね|ぞ|もん|ってば?)?[ー〜]*
1.0	.*([きせぜてで出ねべめみ味れ]|[^だす]し)([ね無][えぇー〜]+)(なあ?|ね[えぇ]*|よ|わ[あぁ]*|からね?)?[ー〜]*
1.0	.*(ません|[無な]いです)(なあ?|ね[えぇ]*|よ|わ|からね?)?[ー〜]*
1.0	.*([無な][ー〜]*し)(だ(よ|ね|なあ?|わあ?|ぞ|からね?)?|よ|ね)?[ー〜]*
1.0	.*((絶[っッー]*対|ぜー*っ+ー*たい|ゼー*ッ+ー*タイ)(決|けっ?)して).*(駄目|だめ|ダメ).*
1.0	.*(駄目|だ[ー〜]*め|ダ[ー〜]*メ)((だ|です)(よ|ぞ))?[ー〜]*
0.9	.*([無な](い|かった))((のか|んじゃない)かな?)?(と(思|おも)(う|って(い?る)?)).*
0.8	.*((絶[っッー]*対|ぜー*っ+ー*たい|ゼー*ッ+ー*タイ)(決|けっ?)して|あん?まり|特に|別に|それほど|そんなに).*([無な]い|ね(え|ぇ|[ー〜]+)).*
0.6	.*([無な]い|ね(え|ぇ|[ー〜]+))かな[ーあ]+
